,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
102,"frozenset(['ROSES REGENCY TEACUP AND SAUCER', 'REGENCY TEA PLATE GREEN'])",frozenset(['REGENCY CAKESTAND 3 TIER']),0.027156549520766772,0.22843450479233227,0.027156549520766772,1.0,4.3776223776223775,0.020953056579121967,inf
72,"frozenset(['REGENCY SUGAR BOWL GREEN', 'GREEN REGENCY TEACUP AND SAUCER'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.02875399361022364,0.10063897763578275,0.02875399361022364,1.0,9.936507936507937,0.025860221090344904,inf
183,"frozenset(['REGENCY SUGAR BOWL GREEN', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.027156549520766772,0.10063897763578275,0.027156549520766772,1.0,9.936507936507937,0.0244235421408813,inf
35,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY SUGAR BOWL GREEN', 'GREEN REGENCY TEACUP AND SAUCER'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.025559105431309903,0.10063897763578275,0.025559105431309903,1.0,9.936507936507937,0.02298686319141769,inf
129,"frozenset(['REGENCY CAKESTAND 3 TIER', 'REGENCY TEA PLATE PINK'])",frozenset(['REGENCY TEA PLATE GREEN']),0.025559105431309903,0.036741214057507986,0.025559105431309903,1.0,27.217391304347828,0.02462003286753973,inf
120,"frozenset(['REGENCY MILK JUG PINK', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.025559105431309903,0.10063897763578275,0.025559105431309903,1.0,9.936507936507937,0.02298686319141769,inf
200,frozenset(['REGENCY TEAPOT ROSES']),frozenset(['REGENCY SUGAR BOWL GREEN']),0.03035143769968051,0.039936102236421724,0.02875399361022364,0.9473684210526315,23.722105263157893,0.027541875491226817,18.241214057507968
53,"frozenset(['REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE ROSES'])",frozenset(['REGENCY TEA PLATE GREEN']),0.027156549520766772,0.036741214057507986,0.025559105431309903,0.9411764705882353,25.616368286445013,0.024561340832304095,16.37539936102236
195,"frozenset(['REGENCY TEAPOT ROSES', 'ROSES REGENCY TEACUP AND SAUCER'])",frozenset(['REGENCY SUGAR BOWL GREEN']),0.027156549520766772,0.039936102236421724,0.025559105431309903,0.9411764705882353,23.56705882352941,0.024474578693260113,16.321086261980827
214,"frozenset(['GREEN REGENCY TEACUP AND SAUCER', 'REGENCY MILK JUG PINK'])",frozenset(['ROSES REGENCY TEACUP AND SAUCER']),0.027156549520766772,0.10063897763578275,0.025559105431309903,0.9411764705882353,9.352007469654527,0.02282609805142443,15.28913738019169
175,"frozenset(['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'])",frozenset(['GREEN REGENCY TEACUP AND SAUCER']),0.04792332268370607,0.07827476038338659,0.04472843450479233,0.9333333333333333,11.923809523809524,0.040977247904949526,13.825878594249206
